displacement
-2.065755185477046396e+00
-7.795421330228475831e-01
5.040576781163194076e-01
1.793456825777832275e+00
1.193499593927341618e+00
-1.466417781470533033e+00
-1.423364221816927622e-01
1.527280996052954309e+00
-1.803689373448151390e+00
1.779906182138915882e-01
-1.102623321239355469e+00
8.499975282062901538e-01
-4.614407785955446650e-01
-1.287066546333919259e+00
1.021982220651054263e+00
1.682878075031670528e+00
-1.960078666391434687e+00
3.417822962649932350e-01
-6.211562429513676209e-01
6.767457266914893577e-01
1.099698205902077675e-02
-1.629312670055480528e+00
1.362796853366228467e+00
-9.431067926413774227e-01
