budget,residual_rmse,displacement_rmse,displacement_max_error,exact_rhs_evaluations
4,0.08301018957859461,0.09084697013336353,0.18555296818082434,4
6,0.016638948206095124,0.02802918912025008,0.06137241358844703,6
8,0.009984965978940915,0.009813733258556242,0.020428610516387558,8
12,0.0012930271845074785,0.000950627564379826,0.002142547087304769,12
16,0.0007290581002553139,0.0003734852500955116,0.0010528409467444044,16
24,9.223197365276511e-05,3.0365877213183685e-05,9.451571049423624e-05,24
